Fri Aug 14 04:34:07 2026    artifacts/f11_post_f10_rebaseline/cprofile_b.prof

         13471731 function calls (13451988 primitive calls) in 9.672 seconds

   Ordered by: cumulative time
   List reduced from 200 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.945    9.945 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:807(run_root_search)
    128/2    0.003    0.000    9.788    4.894 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:178(negamax)
   126/58    0.001    0.000    9.787    0.169 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:362(child_search)
       98    0.000    0.000    8.276    0.084 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:523(quiescence)
       98    0.002    0.000    8.276    0.084 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:460(_quiescence_runtime)
     8742    0.026    0.000    7.369    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:635(in_check)
     8742    2.237    0.000    7.242    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:580(is_square_attacked)
       40    0.018    0.000    5.396    0.135 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:417(_runtime_noisy_actions)
     6331    0.080    0.000    5.385    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1317(iter_legal_action_bindings)
     4232    0.004    0.000    4.874    0.001 {built-in method builtins.next}
     2596    0.003    0.000    4.869    0.002 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:1089(pushed)
     1298    0.001    0.000    4.829    0.004 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:132(__enter__)
     1298    0.005    0.000    4.825    0.004 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\scripts\audit_f4_runtime_cost.py:161(push)
     1298    0.003    0.000    4.818    0.004 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:941(push)
     1298    0.046    0.000    4.815    0.004 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:988(_push_impl)
     4907    0.015    0.000    4.170    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1151(_trial_child_if_s3_legal)
     1427    0.010    0.000    3.623    0.003 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:784(legal_actions)
  3813215    1.896    0.000    3.097    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:42(_checkpoint)
     1298    0.015    0.000    3.026    0.002 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\terminal.py:127(terminal_from_search_runtime)
     1298    0.003    0.000    1.845    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1489(has_legal_action)
     2596    0.007    0.000    1.841    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1367(iter_legal_actions)
   486130    0.758    0.000    1.325    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\rules\ir.py:84(geometry_candidates)
  3813215    1.201    0.000    1.201    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:147(checkpoint)
     1298    0.002    0.000    1.159    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:805(_gave_check)
    33881    0.060    0.000    0.956    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:984(_iter_candidates)
    32243    0.195    0.000    0.824    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1012(_iter_board_candidates)
  2481462    0.756    0.000    0.763    0.000 {method 'get' of 'dict' objects}
    10166    0.379    0.000    0.622    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:96(_sources_by_owner_type)
     1298    0.100    0.000    0.408    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:441(_semantic_component_diff_hash)
      127    0.005    0.000    0.283    0.002 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\evaluation\evaluator.py:39(evaluate)
     1293    0.081    0.000    0.232    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\attacks.py:34(pseudo_attacks)
   492818    0.216    0.000    0.216    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\rules\ir.py:92(<genexpr>)
     1039    0.002    0.000    0.189    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\attacks.py:58(is_square_attacked)
    15844    0.081    0.000    0.187    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1064(_promotion_choices)
     6205    0.036    0.000    0.177    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1382(_transition)
     7881    0.006    0.000    0.155    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:393(_component_token)
      254    0.007    0.000    0.152    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\evaluation\evaluator.py:90(_anchor_escape)
     7881    0.040    0.000    0.148    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:355(_token)
   411831    0.136    0.000    0.142    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.133    0.133 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:695(root_tactical_scan)
    79578    0.067    0.000    0.124    0.000 {built-in method builtins.any}
   420415    0.116    0.000    0.116    0.000 {method 'append' of 'list' objects}
    21282    0.041    0.000    0.108    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:647(_make_binding)
    65020    0.055    0.000    0.107    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\coordinates.py:60(index_to_square)
     9180    0.025    0.000    0.105    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:183(dumps)
     8742    0.074    0.000    0.101    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:86(_own_anchor)
    21282    0.042    0.000    0.085    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:801(_path_holds)
     9180    0.020    0.000    0.074    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:183(encode)
     2597    0.055    0.000    0.073    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:365(_component_map)
    55599    0.036    0.000    0.069    0.000 {method 'update' of 'set' objects}


