Fri Aug 14 04:34:07 2026    artifacts/f11_post_f10_rebaseline/cprofile_b.prof

         13471731 function calls (13451988 primitive calls) in 9.672 seconds

   Ordered by: internal time
   List reduced from 200 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8742    2.237    0.000    7.242    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:580(is_square_attacked)
  3813215    1.896    0.000    3.097    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:42(_checkpoint)
  3813215    1.201    0.000    1.201    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:147(checkpoint)
   486130    0.758    0.000    1.325    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\rules\ir.py:84(geometry_candidates)
  2481462    0.756    0.000    0.763    0.000 {method 'get' of 'dict' objects}
    10166    0.379    0.000    0.622    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:96(_sources_by_owner_type)
   492818    0.216    0.000    0.216    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\rules\ir.py:92(<genexpr>)
    32243    0.195    0.000    0.824    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1012(_iter_board_candidates)
   411831    0.136    0.000    0.142    0.000 {method 'setdefault' of 'dict' objects}
   420415    0.116    0.000    0.116    0.000 {method 'append' of 'list' objects}
     1298    0.100    0.000    0.408    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:441(_semantic_component_diff_hash)
     1293    0.081    0.000    0.232    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\attacks.py:34(pseudo_attacks)
    15844    0.081    0.000    0.187    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1064(_promotion_choices)
     6331    0.080    0.000    5.385    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1317(iter_legal_action_bindings)
     8742    0.074    0.000    0.101    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:86(_own_anchor)
    79578    0.067    0.000    0.124    0.000 {built-in method builtins.any}
    33881    0.060    0.000    0.956    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:984(_iter_candidates)
    65020    0.055    0.000    0.107    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\coordinates.py:60(index_to_square)
     2597    0.055    0.000    0.073    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:365(_component_map)
     1298    0.046    0.000    4.815    0.004 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:988(_push_impl)
     9180    0.044    0.000    0.044    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:205(iterencode)
139530/123917    0.042    0.000    0.051    0.000 {built-in method builtins.hash}
    21282    0.042    0.000    0.085    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:801(_path_holds)
    21282    0.041    0.000    0.108    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:647(_make_binding)
     7881    0.040    0.000    0.148    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\search_runtime.py:355(_token)
   104052    0.040    0.000    0.040    0.000 {built-in method builtins.max}
     6205    0.036    0.000    0.065    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:353(to_position)
     6205    0.036    0.000    0.177    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1382(_transition)
    55599    0.036    0.000    0.069    0.000 {method 'update' of 'set' objects}
     6217    0.029    0.000    0.045    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:366(_apply_effect)
   111676    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
    99501    0.026    0.000    0.026    0.000 {built-in method builtins.len}
     8742    0.026    0.000    7.369    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:635(in_check)
     9180    0.025    0.000    0.105    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:183(dumps)
     7886    0.021    0.000    0.036    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:113(is_semantic_compiled)
    57948    0.021    0.000    0.021    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1325(<genexpr>)
     9180    0.020    0.000    0.074    0.000 C:\Users\icywo\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:183(encode)
     3609    0.020    0.000    0.047    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:125(_semantic_public_action)
       40    0.018    0.000    5.396    0.135 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\ai\alphabeta\search.py:417(_runtime_noisy_actions)
    57948    0.018    0.000    0.018    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:995(<genexpr>)
    43682    0.017    0.000    0.017    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:840(_target_holds)
    37285    0.016    0.000    0.016    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:810(<genexpr>)
     6205    0.016    0.000    0.016    0.000 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:337(__init__)
     4907    0.015    0.000    4.170    0.001 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\semantic_executor.py:1151(_trial_child_if_s3_legal)
     1298    0.015    0.000    3.026    0.002 C:\Users\icywo\PycharmProjects\GenericChess-sandbox\generic_chess\core\terminal.py:127(terminal_from_search_runtime)
