         4048656 function calls (4041273 primitive calls) in 5.909 seconds

   Ordered by: cumulative time
   List reduced from 301 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.711    6.711 audit_f22_post_f21.py:182(search_once)
        1    0.000    0.000    4.318    4.318 search.py:807(run_root_search)
    331/2    0.011    0.000    4.309    2.154 search.py:178(negamax)
   329/60    0.005    0.000    4.308    0.072 search.py:362(child_search)
      658    0.002    0.000    2.547    0.004 {built-in method builtins.next}
      658    0.003    0.000    2.545    0.004 search_runtime.py:1201(pushed)
      329    0.001    0.000    2.524    0.008 contextlib.py:132(__enter__)
      329    0.002    0.000    2.522    0.008 search_runtime.py:1053(push)
      329    0.024    0.000    2.520    0.008 search_runtime.py:1100(_push_impl)
        1    0.000    0.000    2.310    2.310 profile.py:77(build_ruleset_profile)
       14    0.000    0.000    2.308    0.165 analyzer.py:64(build_movement_capability)
       14    0.000    0.000    2.044    0.146 mobility.py:155(mobility_density_curve)
       10    1.153    0.115    1.992    0.199 mobility.py:100(monte_carlo_mobility_at_density)
      989    0.007    0.000    1.795    0.002 semantic_executor.py:635(in_check)
      989    0.550    0.001    1.772    0.002 semantic_executor.py:580(is_square_attacked)
      299    0.026    0.000    1.594    0.005 evaluator.py:39(evaluate)
      329    0.008    0.000    1.569    0.005 terminal.py:127(terminal_from_search_runtime)
     3016    0.454    0.000    1.307    0.000 attacks.py:34(pseudo_attacks)
     2418    0.011    0.000    1.062    0.000 attacks.py:58(is_square_attacked)
      331    0.002    0.000    0.957    0.003 semantic_executor.py:1489(has_legal_action)
      662    0.004    0.000    0.955    0.001 semantic_executor.py:1367(iter_legal_actions)
      662    0.020    0.000    0.951    0.001 semantic_executor.py:1317(iter_legal_action_bindings)
      598    0.037    0.000    0.851    0.001 evaluator.py:90(_anchor_escape)
   428581    0.455    0.000    0.741    0.000 semantic_executor.py:42(_checkpoint)
      331    0.004    0.000    0.623    0.002 semantic_executor.py:1151(_trial_child_if_s3_legal)
      329    0.001    0.000    0.613    0.002 search_runtime.py:917(_gave_check)
   129688    0.208    0.000    0.394    0.000 {method 'update' of 'set' objects}
   620876    0.297    0.000    0.383    0.000 {method 'add' of 'set' objects}
    55732    0.195    0.000    0.343    0.000 ir.py:84(geometry_candidates)
   126814    0.166    0.000    0.331    0.000 coordinates.py:60(index_to_square)
   427808    0.286    0.000    0.286    0.000 search.py:147(checkpoint)
      598    0.002    0.000    0.281    0.000 attacks.py:65(is_in_check)
     2716    0.012    0.000    0.246    0.000 semantic_executor.py:984(_iter_candidates)
   630990    0.225    0.000    0.225    0.000 {built-in method builtins.isinstance}
     2716    0.047    0.000    0.223    0.000 semantic_executor.py:1012(_iter_board_candidates)
   326233    0.221    0.000    0.222    0.000 {method 'get' of 'dict' objects}
      329    0.049    0.000    0.220    0.001 search_runtime.py:441(_semantic_component_diff_hash)
       14    0.001    0.000    0.193    0.014 movement_graph.py:56(graph_metrics)
     1320    0.106    0.000    0.176    0.000 semantic_executor.py:96(_sources_by_owner_type)
    11960    0.048    0.000    0.176    0.000 evaluator.py:67(_promotion_bonus)
17793/17483    0.042    0.000    0.139    0.000 {built-in method builtins.any}
      362    0.001    0.000    0.135    0.000 search_runtime.py:889(legal_actions)
       31    0.006    0.000    0.134    0.004 search_runtime.py:838(_legal_actions_from_provider)
     1134    0.074    0.000    0.131    0.000 movement_graph.py:40(_bfs)
       31    0.007    0.000    0.114    0.004 native_legality.py:157(__call__)


