         7030227 function calls (7010714 primitive calls) in 11.415 seconds

   Ordered by: cumulative time
   List reduced from 314 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.431   12.431 audit_f22_post_f21.py:182(search_once)
        1    0.000    0.000    8.627    8.627 search.py:807(run_root_search)
    120/2    0.005    0.000    8.190    4.095 search.py:178(negamax)
   118/42    0.002    0.000    8.188    0.195 search.py:362(child_search)
      106    0.000    0.000    7.240    0.068 search.py:523(quiescence)
      106    0.003    0.000    7.239    0.068 search.py:460(_quiescence_runtime)
       23    0.020    0.001    6.151    0.267 search.py:417(_runtime_noisy_actions)
     1628    0.006    0.000    6.065    0.004 {built-in method builtins.next}
     1630    0.006    0.000    6.059    0.004 search_runtime.py:1201(pushed)
      815    0.002    0.000    6.012    0.007 contextlib.py:132(__enter__)
      815    0.004    0.000    6.006    0.007 search_runtime.py:1053(push)
      815    0.059    0.000    6.001    0.007 search_runtime.py:1100(_push_impl)
     3219    0.021    0.000    5.539    0.002 semantic_executor.py:635(in_check)
     3219    1.692    0.001    5.437    0.002 semantic_executor.py:580(is_square_attacked)
      815    0.019    0.000    3.781    0.005 terminal.py:127(terminal_from_search_runtime)
        1    0.000    0.000    3.704    3.704 profile.py:77(build_ruleset_profile)
       14    0.000    0.000    3.701    0.264 analyzer.py:64(build_movement_capability)
       14    0.000    0.000    3.112    0.222 mobility.py:155(mobility_density_curve)
       10    1.725    0.172    2.985    0.299 mobility.py:100(monte_carlo_mobility_at_density)
      817    0.004    0.000    2.319    0.003 semantic_executor.py:1489(has_legal_action)
     1634    0.010    0.000    2.315    0.001 semantic_executor.py:1367(iter_legal_actions)
     1634    0.042    0.000    2.305    0.001 semantic_executor.py:1317(iter_legal_action_bindings)
  1383117    1.391    0.000    2.263    0.000 semantic_executor.py:42(_checkpoint)
      817    0.006    0.000    1.459    0.002 semantic_executor.py:1151(_trial_child_if_s3_legal)
      815    0.002    0.000    1.418    0.002 search_runtime.py:917(_gave_check)
   179989    0.586    0.000    1.033    0.000 ir.py:84(geometry_candidates)
  1382953    0.872    0.000    0.872    0.000 search.py:147(checkpoint)
      135    0.013    0.000    0.691    0.005 evaluator.py:39(evaluate)
     6832    0.031    0.000    0.654    0.000 semantic_executor.py:984(_iter_candidates)
   984558    0.626    0.000    0.628    0.000 {method 'get' of 'dict' objects}
     6832    0.124    0.000    0.598    0.000 semantic_executor.py:1012(_iter_board_candidates)
     1338    0.196    0.000    0.567    0.000 attacks.py:34(pseudo_attacks)
      815    0.119    0.000    0.516    0.001 search_runtime.py:441(_semantic_component_diff_hash)
     4036    0.306    0.000    0.501    0.000 semantic_executor.py:96(_sources_by_owner_type)
     1068    0.005    0.000    0.452    0.000 attacks.py:58(is_square_attacked)
      936    0.002    0.000    0.452    0.000 search_runtime.py:889(legal_actions)
      118    0.019    0.000    0.449    0.004 search_runtime.py:838(_legal_actions_from_provider)
       14    0.004    0.000    0.432    0.031 movement_graph.py:56(graph_metrics)
        1    0.001    0.001    0.427    0.427 search.py:695(root_tactical_scan)
   595013    0.364    0.000    0.402    0.000 {method 'add' of 'set' objects}
      118    0.022    0.000    0.385    0.003 native_legality.py:157(__call__)
      270    0.016    0.000    0.367    0.001 evaluator.py:90(_anchor_escape)
   105218    0.180    0.000    0.335    0.000 coordinates.py:60(index_to_square)
     1134    0.164    0.000    0.311    0.000 movement_graph.py:40(_bfs)
   561969    0.264    0.000    0.264    0.000 {built-in method builtins.isinstance}


