Thu Aug 13 04:10:18 2026    artifacts\f4_runtime_cost\after_semantic_profile_a.prof

         26240370 function calls (26231821 primitive calls) in 20.987 seconds

   Ordered by: cumulative time
   List reduced from 183 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.259   21.259 search.py:807(run_root_search)
    331/2    0.010    0.000   21.066   10.533 search.py:178(negamax)
   329/60    0.004    0.000   21.064    0.351 search.py:362(child_search)
     1917    0.005    0.000   18.697    0.010 semantic_executor.py:621(in_check)
     1917    6.090    0.003   18.664    0.010 semantic_executor.py:563(is_square_attacked)
     1619    0.023    0.000   13.788    0.009 semantic_executor.py:1289(iter_legal_action_bindings)
 12286702    7.916    0.000   12.754    0.000 semantic_executor.py:42(_checkpoint)
     1259    0.007    0.000   12.629    0.010 semantic_executor.py:1134(_trial_child_if_s3_legal)
      362    0.005    0.000   10.298    0.028 search_runtime.py:784(legal_actions)
     1851    0.003    0.000    9.984    0.005 {built-in method builtins.next}
      658    0.001    0.000    9.972    0.015 search_runtime.py:1089(pushed)
      724    0.001    0.000    9.962    0.014 contextlib.py:132(__enter__)
      329    0.003    0.000    9.955    0.030 audit_f4_runtime_cost.py:161(push)
      329    0.001    0.000    9.951    0.030 search_runtime.py:941(push)
      329    0.018    0.000    9.950    0.030 search_runtime.py:988(_push_impl)
      329    0.006    0.000    6.627    0.020 terminal.py:127(terminal_from_search_runtime)
 12286702    4.838    0.000    4.838    0.000 search.py:147(checkpoint)
      329    0.002    0.000    3.536    0.011 semantic_executor.py:1450(has_legal_action)
      658    0.003    0.000    3.534    0.005 semantic_executor.py:1328(iter_legal_actions)
      329    0.001    0.000    3.076    0.009 search_runtime.py:805(_gave_check)
     8431    0.024    0.000    1.121    0.000 semantic_executor.py:970(_iter_candidates)
     8028    0.317    0.000    1.071    0.000 semantic_executor.py:994(_iter_board_candidates)
      299    0.017    0.000    0.932    0.003 evaluator.py:39(evaluate)
     3016    0.262    0.000    0.759    0.000 attacks.py:34(pseudo_attacks)
     2418    0.007    0.000    0.615    0.000 attacks.py:58(is_square_attacked)
      598    0.021    0.000    0.497    0.001 evaluator.py:90(_anchor_escape)
   107254    0.234    0.000    0.420    0.000 ir.py:84(geometry_candidates)
   129688    0.119    0.000    0.228    0.000 {method 'update' of 'set' objects}
   423086    0.184    0.000    0.189    0.000 {method 'get' of 'dict' objects}
      598    0.001    0.000    0.158    0.000 attacks.py:65(is_in_check)
      329    0.034    0.000    0.157    0.000 search_runtime.py:441(_semantic_component_diff_hash)
    70094    0.073    0.000    0.142    0.000 coordinates.py:60(index_to_square)
    11960    0.029    0.000    0.106    0.000 evaluator.py:67(_promotion_bonus)
    46793    0.045    0.000    0.092    0.000 {method 'add' of 'set' objects}
    21228    0.030    0.000    0.091    0.000 {built-in method builtins.any}
     1588    0.015    0.000    0.076    0.000 semantic_executor.py:1343(_transition)
202294/195372    0.067    0.000    0.072    0.000 {built-in method builtins.hash}
   108614    0.070    0.000    0.070    0.000 ir.py:92(<genexpr>)
     2059    0.002    0.000    0.065    0.000 search_runtime.py:393(_component_token)
    2059    0.017    0.000    0.063    0.000 search_runtime.py:355(_token)
