Thu Aug 13 03:37:45 2026    artifacts\f4_runtime_cost\semantic_profile_a.prof

         38527072 function calls (38518523 primitive calls) in 36.299 seconds

   Ordered by: cumulative time
   List reduced from 183 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   36.645   36.645 search.py:794(run_root_search)
    331/2    0.012    0.000   36.363   18.182 search.py:165(negamax)
   329/60    0.005    0.000   36.361    0.606 search.py:349(child_search)
     1917    0.006    0.000   32.876    0.017 semantic_executor.py:621(in_check)
     1917    7.628    0.004   32.834    0.017 semantic_executor.py:563(is_square_attacked)
 12286702    9.500    0.000   25.886    0.000 semantic_executor.py:42(_checkpoint)
     1619    0.032    0.000   23.842    0.015 semantic_executor.py:1289(iter_legal_action_bindings)
     1259    0.010    0.000   21.893    0.017 semantic_executor.py:1134(_trial_child_if_s3_legal)
     1851    0.004    0.000   17.715    0.010 {built-in method builtins.next}
      362    0.007    0.000   17.700    0.049 search_runtime.py:784(legal_actions)
      658    0.002    0.000   17.700    0.027 search_runtime.py:1089(pushed)
      724    0.002    0.000   17.686    0.024 contextlib.py:132(__enter__)
      329    0.004    0.000   17.676    0.054 audit_f4_runtime_cost.py:161(push)
      329    0.001    0.000   17.672    0.054 search_runtime.py:941(push)
      329    0.026    0.000   17.670    0.054 search_runtime.py:988(_push_impl)
 12286702    9.658    0.000   16.385    0.000 search.py:147(checkpoint)
      329    0.009    0.000   11.778    0.036 terminal.py:127(terminal_from_search_runtime)
 12287365    6.728    0.000    6.728    0.000 search.py:73(check)
      329    0.003    0.000    6.216    0.019 semantic_executor.py:1450(has_legal_action)
      658    0.004    0.000    6.213    0.009 semantic_executor.py:1328(iter_legal_actions)
      329    0.001    0.000    5.564    0.017 search_runtime.py:805(_gave_check)
     8431    0.032    0.000    1.886    0.000 semantic_executor.py:970(_iter_candidates)
     8028    0.397    0.000    1.814    0.000 semantic_executor.py:994(_iter_board_candidates)
      299    0.022    0.000    1.175    0.004 evaluator.py:39(evaluate)
     3016    0.329    0.000    0.951    0.000 attacks.py:34(pseudo_attacks)
     2418    0.009    0.000    0.769    0.000 attacks.py:58(is_square_attacked)
      598    0.027    0.000    0.624    0.001 evaluator.py:90(_anchor_escape)
   107254    0.299    0.000    0.548    0.000 ir.py:84(geometry_candidates)
   129688    0.148    0.000    0.283    0.000 {method 'update' of 'set' objects}
   423086    0.251    0.000    0.257    0.000 {method 'get' of 'dict' objects}
      329    0.042    0.000    0.204    0.001 search_runtime.py:441(_semantic_component_diff_hash)
      598    0.002    0.000    0.197    0.000 attacks.py:65(is_in_check)
    70094    0.090    0.000    0.182    0.000 coordinates.py:60(index_to_square)
    11960    0.039    0.000    0.137    0.000 evaluator.py:67(_promotion_bonus)
    46793    0.057    0.000    0.118    0.000 {method 'add' of 'set' objects}
    21228    0.038    0.000    0.116    0.000 {built-in method builtins.any}
     1588    0.021    0.000    0.109    0.000 semantic_executor.py:1343(_transition)
202294/195372    0.084    0.000    0.090    0.000 {built-in method builtins.hash}
   108614    0.084    0.000    0.084    0.000 ir.py:92(<genexpr>)
     2059    0.003    0.000    0.081    0.000 search_runtime.py:393(_component_token)
