Thu Aug 13 03:37:45 2026    artifacts\f4_runtime_cost\semantic_profile_a.prof

         38527072 function calls (38518523 primitive calls) in 36.299 seconds

   Ordered by: internal time
   List reduced from 183 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12286702    9.658    0.000   16.385    0.000 search.py:147(checkpoint)
 12286702    9.500    0.000   25.886    0.000 semantic_executor.py:42(_checkpoint)
     1917    7.628    0.004   32.834    0.017 semantic_executor.py:563(is_square_attacked)
 12287365    6.728    0.000    6.728    0.000 search.py:73(check)
     8028    0.397    0.000    1.814    0.000 semantic_executor.py:994(_iter_board_candidates)
     3016    0.329    0.000    0.951    0.000 attacks.py:34(pseudo_attacks)
   107254    0.299    0.000    0.548    0.000 ir.py:84(geometry_candidates)
   423086    0.251    0.000    0.257    0.000 {method 'get' of 'dict' objects}
   129688    0.148    0.000    0.283    0.000 {method 'update' of 'set' objects}
    70094    0.090    0.000    0.182    0.000 coordinates.py:60(index_to_square)
   108614    0.084    0.000    0.084    0.000 ir.py:92(<genexpr>)
202294/195372    0.084    0.000    0.090    0.000 {built-in method builtins.hash}
   174084    0.064    0.000    0.064    0.000 {built-in method builtins.isinstance}
    46793    0.057    0.000    0.118    0.000 {method 'add' of 'set' objects}
      329    0.042    0.000    0.204    0.001 search_runtime.py:441(_semantic_component_diff_hash)
    11960    0.039    0.000    0.137    0.000 evaluator.py:67(_promotion_bonus)
    21228    0.038    0.000    0.116    0.000 {built-in method builtins.any}
     3658    0.037    0.000    0.079    0.000 semantic_executor.py:1047(_promotion_choices)
      659    0.035    0.000    0.049    0.000 search_runtime.py:365(_component_map)
     1619    0.032    0.000   23.842    0.015 semantic_executor.py:1289(iter_legal_action_bindings)
     8431    0.032    0.000    1.886    0.000 semantic_executor.py:970(_iter_candidates)
    40045    0.032    0.000    0.065    0.000 evaluator.py:84(<genexpr>)
      930    0.030    0.000    0.050    0.000 semantic_executor.py:108(_semantic_public_action)
    36599    0.030    0.000    0.030    0.000 {built-in method builtins.max}
     2389    0.028    0.000    0.028    0.000 encoder.py:205(iterencode)
      598    0.027    0.000    0.624    0.001 evaluator.py:90(_anchor_escape)
      329    0.026    0.000   17.670    0.054 search_runtime.py:988(_push_impl)
     1917    0.025    0.000    0.035    0.000 semantic_executor.py:86(_own_anchor)
      299    0.022    0.000    1.175    0.004 evaluator.py:39(evaluate)
     2059    0.021    0.000    0.078    0.000 search_runtime.py:355(_token)
     1588    0.021    0.000    0.109    0.000 semantic_executor.py:1343(_transition)
     1588    0.020    0.000    0.034    0.000 semantic_executor.py:336(to_position)
     4841    0.020    0.000    0.042    0.000 semantic_executor.py:787(_path_holds)
     4841    0.019    0.000    0.047    0.000 semantic_executor.py:633(_make_binding)
    50112    0.019    0.000    0.019    0.000 coordinates.py:55(square_to_index)
     1709    0.018    0.000    0.025    0.000 semantic_executor.py:96(is_semantic_compiled)
     4799    0.014    0.000    0.022    0.000 {built-in method builtins.sorted}
     1588    0.014    0.000    0.014    0.000 semantic_executor.py:320(__init__)
     1588    0.014    0.000    0.022    0.000 semantic_executor.py:349(_apply_effect)
    331/2    0.012    0.000   36.363   18.182 search.py:165(negamax)
