Thu Aug 13 23:05:48 2026    artifacts/f6_target_directed_semantic/cprofile_before/semantic_prefix_2.prof

         4873196 function calls (4864716 primitive calls) in 3.925 seconds

   Ordered by: cumulative time
   List reduced from 186 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.129    4.129 search.py:807(run_root_search)
    304/2    0.005    0.000    4.085    2.043 search.py:178(negamax)
   302/56    0.002    0.000    4.084    0.073 search.py:362(child_search)
     1585    0.018    0.000    2.493    0.002 semantic_executor.py:1300(iter_legal_action_bindings)
     1858    0.006    0.000    2.414    0.001 semantic_executor.py:635(in_check)
     1858    0.587    0.000    2.382    0.001 semantic_executor.py:580(is_square_attacked)
      333    0.003    0.000    1.932    0.006 search_runtime.py:784(legal_actions)
     1254    0.005    0.000    1.759    0.001 semantic_executor.py:1145(_trial_child_if_s3_legal)
     1709    0.002    0.000    1.476    0.001 {built-in method builtins.next}
      604    0.001    0.000    1.469    0.002 search_runtime.py:1089(pushed)
      666    0.001    0.000    1.464    0.002 contextlib.py:132(__enter__)
      302    0.001    0.000    1.459    0.005 audit_f4_runtime_cost.py:161(push)
      302    0.001    0.000    1.458    0.005 search_runtime.py:941(push)
      302    0.010    0.000    1.457    0.005 search_runtime.py:988(_push_impl)
      302    0.004    0.000    0.950    0.003 terminal.py:127(terminal_from_search_runtime)
   257749    0.365    0.000    0.940    0.000 audit_f6_target_directed.py:179(wrapped)
   813314    0.458    0.000    0.758    0.000 semantic_executor.py:42(_checkpoint)
     7617    0.025    0.000    0.703    0.000 semantic_executor.py:984(_iter_candidates)
      274    0.012    0.000    0.685    0.003 evaluator.py:39(evaluate)
     7240    0.059    0.000    0.656    0.000 semantic_executor.py:1008(_iter_board_candidates)
      302    0.001    0.000    0.588    0.002 semantic_executor.py:1461(has_legal_action)
      604    0.001    0.000    0.587    0.001 semantic_executor.py:1339(iter_legal_actions)
     2801    0.195    0.000    0.563    0.000 attacks.py:34(pseudo_attacks)
     7844    0.324    0.000    0.531    0.000 semantic_executor.py:96(_sources_by_owner_type)
     2253    0.005    0.000    0.452    0.000 attacks.py:58(is_square_attacked)
      548    0.016    0.000    0.367    0.001 evaluator.py:90(_anchor_escape)
      302    0.000    0.000    0.359    0.001 search_runtime.py:805(_gave_check)
   103314    0.186    0.000    0.322    0.000 ir.py:84(geometry_candidates)
   813314    0.299    0.000    0.299    0.000 search.py:147(checkpoint)
   751084    0.254    0.000    0.258    0.000 {method 'get' of 'dict' objects}
   120443    0.086    0.000    0.169    0.000 {method 'update' of 'set' objects}
   309942    0.155    0.000    0.155    0.000 audit_f6_target_directed.py:171(add)
      548    0.001    0.000    0.114    0.000 attacks.py:65(is_in_check)
   314971    0.112    0.000    0.113    0.000 {method 'setdefault' of 'dict' objects}
    65526    0.053    0.000    0.102    0.000 coordinates.py:60(index_to_square)
      302    0.024    0.000    0.096    0.000 search_runtime.py:441(_semantic_component_diff_hash)
   317625    0.096    0.000    0.096    0.000 {method 'append' of 'list' objects}
    10960    0.019    0.000    0.074    0.000 evaluator.py:67(_promotion_bonus)
    45845    0.033    0.000    0.071    0.000 {method 'add' of 'set' objects}
    19436    0.022    0.000    0.067    0.000 {built-in method builtins.any}
192243/185343    0.051    0.000    0.056    0.000 {built-in method builtins.hash}
   105106    0.056    0.000    0.056    0.000 ir.py:92(<genexpr>)
     1556    0.011    0.000    0.052    0.000 semantic_executor.py:1354(_transition)
     3527    0.019    0.000    0.044    0.000 semantic_executor.py:1058(_promotion_choices)
     2237    0.002    0.000    0.040    0.000 search_runtime.py:393(_component_token)
     2237    0.010    0.000    0.038    0.000 search_runtime.py:355(_token)
    36661    0.016    0.000    0.037    0.000 evaluator.py:84(<genexpr>)
   162219    0.037    0.000    0.037    0.000 {built-in method builtins.isinstance}
   125176    0.034    0.000    0.034    0.000 {built-in method builtins.len}
     2540    0.006    0.000    0.027    0.000 __init__.py:183(dumps)
     4689    0.010    0.000    0.026    0.000 semantic_executor.py:647(_make_binding)
     1858    0.019    0.000    0.026    0.000 semantic_executor.py:86(_own_anchor)
     4689    0.009    0.000    0.019    0.000 semantic_executor.py:801(_path_holds)
     2540    0.005    0.000    0.019    0.000 encoder.py:183(encode)
     1556    0.011    0.000    0.019    0.000 semantic_executor.py:353(to_position)
      609    0.013    0.000    0.017    0.000 search_runtime.py:365(_component_map)
      952    0.007    0.000    0.017    0.000 semantic_executor.py:125(_semantic_public_action)
    34621    0.015    0.000    0.015    0.000 {built-in method builtins.max}
      666    0.001    0.000    0.014    0.000 contextlib.py:141(__exit__)
     1556    0.008    0.000    0.013    0.000 semantic_executor.py:366(_apply_effect)


