Thu Aug 13 23:05:54 2026    artifacts/f6_target_directed_semantic/cprofile_candidate/semantic_prefix_2.prof

         4514772 function calls (4506292 primitive calls) in 3.758 seconds

   Ordered by: internal time
   List reduced from 188 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1858    0.852    0.000    2.259    0.001 audit_f6_target_directed.py:195(attack)
   668267    0.378    0.000    0.635    0.000 semantic_executor.py:42(_checkpoint)
     7844    0.324    0.000    0.530    0.000 semantic_executor.py:96(_sources_by_owner_type)
   741200    0.257    0.000    0.261    0.000 {method 'get' of 'dict' objects}
   668267    0.256    0.000    0.256    0.000 search.py:147(checkpoint)
     2801    0.203    0.000    0.568    0.000 attacks.py:34(pseudo_attacks)
   395278    0.188    0.000    0.188    0.000 audit_f6_target_directed.py:171(add)
    98372    0.178    0.000    0.264    0.000 audit_f6_target_directed.py:51(target_directed_matches)
   314971    0.113    0.000    0.114    0.000 {method 'setdefault' of 'dict' objects}
   317625    0.094    0.000    0.094    0.000 {method 'append' of 'list' objects}
   120443    0.086    0.000    0.167    0.000 {method 'update' of 'set' objects}
   218538    0.060    0.000    0.060    0.000 {built-in method builtins.len}
     7240    0.055    0.000    0.621    0.000 semantic_executor.py:1008(_iter_board_candidates)
    65526    0.053    0.000    0.104    0.000 coordinates.py:60(index_to_square)
   132925    0.051    0.000    0.051    0.000 {built-in method builtins.max}
192243/185343    0.049    0.000    0.054    0.000 {built-in method builtins.hash}
   162219    0.037    0.000    0.037    0.000 {built-in method builtins.isinstance}
    45845    0.033    0.000    0.071    0.000 {method 'add' of 'set' objects}
     7617    0.024    0.000    0.667    0.000 semantic_executor.py:984(_iter_candidates)
      302    0.021    0.000    0.089    0.000 search_runtime.py:441(_semantic_component_diff_hash)
    19436    0.021    0.000    0.061    0.000 {built-in method builtins.any}
     3527    0.020    0.000    0.045    0.000 semantic_executor.py:1058(_promotion_choices)
     1858    0.019    0.000    0.026    0.000 semantic_executor.py:86(_own_anchor)
    10960    0.018    0.000    0.067    0.000 evaluator.py:67(_promotion_bonus)
     1585    0.017    0.000    2.393    0.002 semantic_executor.py:1300(iter_legal_action_bindings)
    36661    0.015    0.000    0.033    0.000 evaluator.py:84(<genexpr>)
      548    0.015    0.000    0.380    0.001 evaluator.py:90(_anchor_escape)
     4942    0.014    0.000    0.025    0.000 ir.py:84(geometry_candidates)
      609    0.012    0.000    0.016    0.000 search_runtime.py:365(_component_map)
    18632    0.011    0.000    0.011    0.000 audit_f6_target_directed.py:59(<genexpr>)
    49314    0.011    0.000    0.011    0.000 coordinates.py:55(square_to_index)
     2540    0.011    0.000    0.011    0.000 encoder.py:205(iterencode)
     4689    0.011    0.000    0.027    0.000 semantic_executor.py:647(_make_binding)
     1556    0.010    0.000    0.051    0.000 semantic_executor.py:1354(_transition)
      302    0.010    0.000    1.344    0.004 search_runtime.py:988(_push_impl)
     2237    0.010    0.000    0.038    0.000 search_runtime.py:355(_token)
      274    0.010    0.000    0.682    0.002 evaluator.py:39(evaluate)
     1556    0.010    0.000    0.018    0.000 semantic_executor.py:353(to_position)
     4689    0.010    0.000    0.020    0.000 semantic_executor.py:801(_path_holds)
     1556    0.008    0.000    0.013    0.000 semantic_executor.py:366(_apply_effect)
     1574    0.008    0.000    0.011    0.000 semantic_executor.py:113(is_semantic_compiled)
      952    0.008    0.000    0.018    0.000 semantic_executor.py:125(_semantic_public_action)
     1858    0.006    0.000    2.291    0.001 semantic_executor.py:635(in_check)
    12726    0.006    0.000    0.006    0.000 semantic_executor.py:994(<genexpr>)
     2540    0.006    0.000    0.026    0.000 __init__.py:183(dumps)
     2540    0.005    0.000    0.019    0.000 encoder.py:183(encode)
    304/2    0.005    0.000    3.915    1.958 search.py:178(negamax)
    12523    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
     2253    0.005    0.000    0.463    0.000 attacks.py:58(is_square_attacked)
     8774    0.005    0.000    0.005    0.000 ir.py:92(<genexpr>)
     1254    0.005    0.000    1.697    0.001 semantic_executor.py:1145(_trial_child_if_s3_legal)
     1556    0.005    0.000    0.005    0.000 semantic_executor.py:337(__init__)
     4701    0.005    0.000    0.011    0.000 {built-in method builtins.sorted}
     9320    0.004    0.000    0.004    0.000 semantic_executor.py:840(_target_holds)
      333    0.004    0.000    1.880    0.006 search_runtime.py:784(legal_actions)
     8312    0.004    0.000    0.004    0.000 semantic_executor.py:810(<genexpr>)
      302    0.003    0.000    0.880    0.003 terminal.py:127(terminal_from_search_runtime)
      305    0.003    0.000    0.005    0.000 search_runtime.py:351(_xor_bytes)
     2016    0.003    0.000    0.004    0.000 coordinates.py:35(square_str)
     2829    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(parent)


